Source,Destination,Latency
127.0.0.1:4001,127.0.0.1:4002,2.444428702068810
127.0.0.1:4001,127.0.0.1:4003,2.699229505472930
127.0.0.1:4001,127.0.0.1:4004,2.328590176719810
127.0.0.1:4002,127.0.0.1:4001,2.393687568960670
127.0.0.1:4002,127.0.0.1:4003,1.915680925530300
127.0.0.1:4002,127.0.0.1:4004,0.962989035800960
127.0.0.1:4003,127.0.0.1:4001,2.483129516213910
127.0.0.1:4003,127.0.0.1:4002,1.921798218553240
127.0.0.1:4003,127.0.0.1:4004,2.232910824729800
127.0.0.1:4004,127.0.0.1:4001,2.353898476339220
127.0.0.1:4004,127.0.0.1:4002,0.923184834745460
127.0.0.1:4004,127.0.0.1:4003,2.230005101606550















